acımasız
aciz
açgözlü
adaletsiz
adi
agresif
akılsız
aksaklık
alakasız
alaycı
alçaltıcı
amaçsız
anlamsız
anormal
arkadan vurmak
aşağılayıcı
aşağılık
bağımlı
bağnaz
barbarca
beceriksiz
bela
bencil
bencilce
bezdirmek
bıkkın
boşboğaz
boykot
cahil
canavarca
canice
çarpık
çatışma
çıldırmak
çileden çıkma
çöküş
çürük
darbe
dehşet
dejenere
despot
dezavantaj
dikkatsiz
dipsiz
doğal afet
duyarsız
duygusuz
düşman
düşmanca
düzenbaz
düzensiz
endişe
endişe verici
engel
eziyet
fahiş
felaket
fiyasko
gaddarca
geri zekalı
gözden düşmek
güvensiz
hain
hakaret
harap
hasar
hatalı
hayal kırıklığı
hayvani
hırçın
hırpalanmış
hırsız
hile
hüsran
ızdırap
iflas
iftira
iğrenç
ihanet
ikiyüzlü
ilgisiz
inkar etmek
insanlık dışı
isteksiz
istismar
işgal
işgüzar
işkence
itham
itibarsız
kan dökücü
kana susamış
kanayan
kaos
kara leke
karşıt
katil
katliam
kavgacı
kaygı
kınama
kışkıtrmak
kıtlık
kıyamet
kızgın
kibirli
kin
komplo
korkak
korkunç
kötü
kötümser
kriz
kusur
kusurlu
küçük düşürücü
küçümsemek
küfür
küstah
lanet
mağdur
muhalif
muhtaç
münakaşa
nahoş
namertçe
namussuz
nankör
nefret
negatif
öc alma
öfke
öfkeli
ölümcül
ön yargı
panik
perişan
pervasız
pislik
pusu
radikal
rahatsız
rakip
reddetmek
rezil
saçma
saçmalık
sahte
sahtekar
sakıncalı
saldırgan
saldırı
saldırmak
sıkıntı
sinsice
sorumsuz
suç
suçlama
suistimal
sürgün
şantaj
şeytani
şirret
şüphe
şüpheli
taciz
taşkınlık
tedbirsiz
tedirgin
tehlike
tutarsız
tuzak
tükenme
tüyler ürpertici
uçurum
umutsuz
utanç
utandırıcı
uyumsuz
ürkek
vahşet
vahşi
vefasız
verimsiz
yağmalamak
yalan
yalvarmak
yanlış
yetersiz
yıkıcı
yıkım
yıldırmak
yok etmek
yokluk
yoksul
yoksunluk
yozlaşma
yozlaşmış
zalim
zalimce
zarar
zararlı
zorbaca
zorbalık
